# Maximum Profit Analysis:
# ---------------------------
# Optimal Quantity	: 283.74
# Maximum Profit	: 41433.63
# Iterations		: 4
#
# Total Profit (Simpson's Rule):
# ---------------------------
# From x=0.00 to x=500.00	: 12422127.43

# Qty      Revenue      Cost         Profit       Derivative
0.00       0.00         3628.00      -3628.00     256.03      
5.00       1289.92      3641.60      -2351.68     254.48      
10.00      2579.40      3662.72      -1083.32     252.84      
15.00      3867.97      3691.38      176.59       251.11      
20.00      5155.20      3727.62      1427.58      249.27      
25.00      6440.63      3771.45      2669.17      247.35      
30.00      7723.80      3822.92      3900.88      245.32      
35.00      9004.27      3882.06      5122.22      243.20      
40.00      10281.60     3948.89      6332.71      240.98      
45.00      11555.33     4023.46      7531.87      238.67      
50.00      12825.00     4105.80      8719.20      236.25      
55.00      14090.17     4195.95      9894.22      233.74      
60.00      15350.40     4293.96      11056.44     231.13      
65.00      16605.22     4399.86      12205.36     228.42      
70.00      17854.20     4513.71      13340.49     225.61      
75.00      19096.88     4635.55      14461.33     222.70      
80.00      20332.80     4765.43      15567.37     219.70      
85.00      21561.53     4903.41      16658.11     216.59      
90.00      22782.60     5049.54      17733.06     213.37      
95.00      23995.58     5203.88      18791.69     210.06      
100.00     25200.00     5366.50      19833.50     206.64      
105.00     26395.42     5537.46      20857.97     203.13      
110.00     27581.40     5716.82      21864.58     199.50      
115.00     28757.47     5904.66      22852.81     195.77      
120.00     29923.20     6101.06      23822.14     191.94      
125.00     31078.13     6306.10      24772.03     188.00      
130.00     32221.80     6519.85      25701.95     183.95      
135.00     33353.78     6742.41      26611.36     179.80      
140.00     34473.60     6973.87      27499.73     175.53      
145.00     35580.82     7214.33      28366.49     171.16      
150.00     36675.00     7463.89      29211.11     166.67      
155.00     37755.68     7722.66      30033.02     162.07      
160.00     38822.40     7990.75      30831.65     157.36      
165.00     39874.72     8268.28      31606.45     152.54      
170.00     40912.20     8555.37      32356.83     147.60      
175.00     41934.38     8852.16      33082.22     142.54      
180.00     42940.80     9158.78      33782.02     137.36      
185.00     43931.03     9475.38      34455.64     132.07      
190.00     44904.60     9802.12      35102.48     126.65      
195.00     45861.07     10139.15     35721.92     121.11      
200.00     46800.00     10486.64     36313.36     115.44      
205.00     47720.93     10844.78     36876.15     109.65      
210.00     48623.40     11213.74     37409.66     103.73      
215.00     49506.97     11593.72     37913.26     97.68       
220.00     50371.20     11984.93     38386.27     91.50       
225.00     51215.63     12387.58     38828.04     85.18       
230.00     52039.80     12801.91     39237.89     78.73       
235.00     52843.28     13228.16     39615.12     72.14       
240.00     53625.60     13666.57     39959.03     65.40       
245.00     54386.32     14117.40     40268.92     58.53       
250.00     55125.00     14580.95     40544.05     51.50       
255.00     55841.18     15057.50     40783.68     44.33       
260.00     56534.40     15547.36     40987.04     37.00       
265.00     57204.22     16050.85     41153.38     29.51       
270.00     57850.20     16568.31     41281.89     21.87       
275.00     58471.88     17100.10     41371.78     14.06       
280.00     59068.80     17646.60     41422.20     6.08        
285.00     59640.53     18208.19     41432.33     -2.06       
290.00     60186.60     18785.31     41401.29     -10.38      
295.00     60706.57     19378.37     41328.20     -18.88      
300.00     61200.00     19987.85     41212.15     -27.57      
305.00     61666.43     20614.22     41052.20     -36.44      
310.00     62105.40     21258.00     40847.40     -45.51      
315.00     62516.48     21919.70     40596.77     -54.78      
320.00     62899.20     22599.91     40299.29     -64.25      
325.00     63253.13     23299.20     39953.93     -73.93      
330.00     63577.80     24018.19     39559.61     -83.83      
335.00     63872.78     24757.54     39115.24     -93.96      
340.00     64137.60     25517.93     38619.67     -104.31     
345.00     64371.82     26300.08     38071.75     -114.90     
350.00     64575.00     27104.74     37470.26     -125.74     
355.00     64746.68     27932.72     36813.95     -136.83     
360.00     64886.40     28784.85     36101.55     -148.18     
365.00     64993.73     29662.01     35331.72     -159.80     
370.00     65068.20     30565.12     34503.08     -171.70     
375.00     65109.38     31495.15     33614.22     -183.89     
380.00     65116.80     32453.13     32663.67     -196.38     
385.00     65090.03     33440.13     31649.89     -209.18     
390.00     65028.60     34457.28     30571.32     -222.30     
395.00     64932.08     35505.77     29426.31     -235.76     
400.00     64800.00     36586.84     28213.16     -249.56     
405.00     64631.93     37701.80     26930.13     -263.72     
410.00     64427.40     38852.04     25575.36     -278.25     
415.00     64185.98     40039.00     24146.98     -293.17     
420.00     63907.20     41264.21     22642.99     -308.49     
425.00     63590.63     42529.27     21061.36     -324.23     
430.00     63235.80     43835.86     19399.94     -340.41     
435.00     62842.28     45185.76     17656.52     -357.04     
440.00     62409.60     46580.82     15828.78     -374.14     
445.00     61937.33     48023.01     13914.32     -391.73     
450.00     61425.00     49514.37     11910.63     -409.83     
455.00     60872.18     51057.08     9815.09      -428.47     
460.00     60278.40     52653.41     7624.99      -447.66     
465.00     59643.23     54305.74     5337.48      -467.44     
470.00     58966.20     56016.59     2949.61      -487.82     
475.00     58246.88     57788.60     458.27       -508.83     
480.00     57484.80     59624.55     -2139.75     -530.50     
485.00     56679.53     61527.36     -4847.83     -552.85     
490.00     55830.60     63500.09     -7669.49     -575.93     
495.00     54937.58     65545.97     -10608.39    -599.76     
500.00     54000.00     67668.39     -13668.39    -624.37     
