# Maximum Profit Analysis:
# ---------------------------
# Optimal Quantity	: 283.93
# Maximum Profit	: 40667.61
# Iterations		: 4
#
# Total Profit (Simpson's Rule):
# ---------------------------
# From x=0.00 to x=500.00	: 12511061.29

# Qty      Revenue      Cost         Profit       Derivative
0.00       0.00         4052.00      -4052.00     264.49      
5.00       1329.94      4064.99      -2735.05     262.28      
10.00      2659.50      4088.88      -1429.38     259.98      
15.00      3988.31      4123.69      -135.37      257.61      
20.00      5316.00      4169.43      1146.57      255.16      
25.00      6642.19      4226.14      2416.05      252.62      
30.00      7966.50      4293.83      3672.67      250.01      
35.00      9288.56      4372.53      4916.03      247.32      
40.00      10608.00     4462.27      6145.73      244.55      
45.00      11924.44     4563.07      7361.37      241.69      
50.00      13237.50     4674.96      8562.54      238.76      
55.00      14546.81     4797.97      9748.84      235.75      
60.00      15852.00     4932.14      10919.86     232.65      
65.00      17152.69     5077.50      12075.19     229.47      
70.00      18448.50     5234.08      13214.42     226.21      
75.00      19739.06     5401.92      14337.15     222.87      
80.00      21024.00     5581.06      15442.94     219.44      
85.00      22302.94     5771.54      16531.40     215.93      
90.00      23575.50     5973.40      17602.10     212.34      
95.00      24841.31     6186.69      18654.62     208.66      
100.00     26100.00     6411.46      19688.54     204.90      
105.00     27351.19     6647.76      20703.43     201.05      
110.00     28594.50     6895.63      21698.87     197.11      
115.00     29829.56     7155.14      22674.43     193.09      
120.00     31056.00     7426.34      23629.66     188.99      
125.00     32273.44     7709.29      24564.15     184.79      
130.00     33481.50     8004.06      25477.44     180.51      
135.00     34679.81     8310.72      26369.09     176.14      
140.00     35868.00     8629.34      27238.66     171.68      
145.00     37045.69     8959.98      28085.71     167.13      
150.00     38212.50     9302.74      28909.76     162.48      
155.00     39368.06     9657.68      29710.38     157.75      
160.00     40512.00     10024.91     30487.09     152.92      
165.00     41643.94     10404.50     31239.43     148.00      
170.00     42763.50     10796.57     31966.93     142.98      
175.00     43870.31     11201.20     32669.12     137.87      
180.00     44964.00     11618.50     33345.50     132.67      
185.00     46044.19     12048.58     33995.60     127.36      
190.00     47110.50     12491.57     34618.93     121.95      
195.00     48162.56     12947.58     35214.98     116.45      
200.00     49200.00     13416.75     35783.25     110.84      
205.00     50222.44     13899.20     36323.23     105.13      
210.00     51229.50     14395.09     36834.41     99.32       
215.00     52220.81     14904.56     37316.25     93.40       
220.00     53196.00     15427.78     37768.22     87.37       
225.00     54154.69     15964.90     38189.79     81.24       
230.00     55096.50     16516.10     38580.40     74.99       
235.00     56021.06     17081.57     38939.49     68.63       
240.00     56928.00     17661.50     39266.50     62.16       
245.00     57816.94     18256.09     39560.85     55.56       
250.00     58687.50     18865.56     39821.94     48.85       
255.00     59539.31     19490.12     40049.19     42.02       
260.00     60372.00     20130.02     40241.98     35.07       
265.00     61185.19     20785.51     40399.68     27.99       
270.00     61978.50     21456.84     40521.66     20.78       
275.00     62751.56     22144.29     40607.28     13.44       
280.00     63504.00     22848.14     40655.86     5.97        
285.00     64235.44     23568.71     40666.73     -1.64       
290.00     64945.50     24306.30     40639.20     -9.39       
295.00     65633.81     25061.25     40572.56     -17.29      
300.00     66300.00     25833.92     40466.08     -25.33      
305.00     66943.69     26624.67     40319.02     -33.52      
310.00     67564.50     27433.89     40130.61     -41.87      
315.00     68162.06     28262.00     39900.07     -50.37      
320.00     68736.00     29109.41     39626.59     -59.04      
325.00     69285.94     29976.59     39309.35     -67.88      
330.00     69811.50     30864.01     38947.49     -76.89      
335.00     70312.31     31772.16     38540.15     -86.08      
340.00     70788.00     32701.58     38086.42     -95.45      
345.00     71238.19     33652.81     37585.38     -105.00     
350.00     71662.50     34626.43     37036.07     -114.75     
355.00     72060.56     35623.06     36437.50     -124.71     
360.00     72432.00     36643.33     35788.67     -134.86     
365.00     72776.44     37687.92     35088.51     -145.23     
370.00     73093.50     38757.54     34335.96     -155.83     
375.00     73382.81     39852.93     33529.88     -166.64     
380.00     73644.00     40974.88     32669.12     -177.70     
385.00     73876.69     42124.20     31752.48     -189.00     
390.00     74080.50     43301.77     30778.73     -200.55     
395.00     74255.06     44508.49     29746.57     -212.36     
400.00     74400.00     45745.32     28654.68     -224.44     
405.00     74514.94     47013.27     27501.67     -236.81     
410.00     74599.50     48313.38     26286.12     -249.46     
415.00     74653.31     49646.78     25006.53     -262.42     
420.00     74676.00     51014.64     23661.36     -275.70     
425.00     74667.19     52418.17     22249.02     -289.30     
430.00     74626.50     53858.67     20767.83     -303.24     
435.00     74553.56     55337.50     19216.06     -317.53     
440.00     74448.00     56856.08     17591.92     -332.19     
445.00     74309.44     58415.92     15893.52     -347.23     
450.00     74137.50     60018.59     14118.91     -362.68     
455.00     73931.81     61665.74     12266.07     -378.53     
460.00     73692.00     63359.13     10332.87     -394.82     
465.00     73417.69     65100.58     8317.10      -411.56     
470.00     73108.50     66892.02     6216.48      -428.77     
475.00     72764.06     68735.48     4028.59      -446.47     
480.00     72384.00     70633.07     1750.93      -464.68     
485.00     71967.94     72587.05     -619.11      -483.43     
490.00     71515.50     74599.76     -3084.26     -502.73     
495.00     71026.31     76673.67     -5647.36     -522.61     
500.00     70500.00     78811.39     -8311.39     -543.10     
