# Maximum Profit Analysis:
# ---------------------------
# Optimal Quantity	: 282.04
# Maximum Profit	: 46324.28
# Iterations		: 4
#
# Total Profit (Simpson's Rule):
# ---------------------------
# From x=0.00 to x=500.00	: 14106568.31

# Qty      Revenue      Cost         Profit       Derivative
0.00       0.00         3208.00      -3208.00     284.29      
5.00       1429.91      3220.77      -1790.85     282.55      
10.00      2859.30      3241.98      -382.68      280.70      
15.00      4287.64      3271.67      1015.96      278.74      
20.00      5714.40      3309.86      2404.54      276.67      
25.00      7139.06      3356.57      3782.49      274.49      
30.00      8561.10      3411.83      5149.27      272.20      
35.00      9979.99      3475.66      6504.33      269.80      
40.00      11395.20     3548.10      7847.10      267.29      
45.00      12806.21     3629.18      9177.03      264.67      
50.00      14212.50     3718.93      10493.57     261.93      
55.00      15613.54     3817.39      11796.15     259.08      
60.00      17008.80     3924.58      13084.22     256.12      
65.00      18397.76     4040.56      14357.21     253.05      
70.00      19779.90     4165.35      15614.55     249.87      
75.00      21154.69     4299.01      16855.68     246.57      
80.00      22521.60     4441.57      18080.03     243.15      
85.00      23880.11     4593.08      19287.03     239.63      
90.00      25229.70     4753.59      20476.11     235.98      
95.00      26569.84     4923.16      21646.68     232.23      
100.00     27900.00     5101.83      22798.17     228.35      
105.00     29219.66     5289.66      23930.00     224.36      
110.00     30528.30     5486.71      25041.59     220.25      
115.00     31825.39     5693.05      26132.34     216.03      
120.00     33110.40     5908.74      27201.66     211.68      
125.00     34382.81     6133.85      28248.96     207.22      
130.00     35642.10     6368.45      29273.65     202.64      
135.00     36887.74     6612.62      30275.12     197.93      
140.00     38119.20     6866.44      31252.76     193.11      
145.00     39335.96     7129.99      32205.97     188.16      
150.00     40537.50     7403.37      33134.13     183.09      
155.00     41723.29     7686.66      34036.63     177.89      
160.00     42892.80     7979.97      34912.83     172.57      
165.00     44045.51     8283.39      35762.12     167.12      
170.00     45180.90     8597.05      36583.85     161.55      
175.00     46298.44     8921.04      37377.40     155.85      
180.00     47397.60     9255.49      38142.11     150.02      
185.00     48477.86     9600.53      38877.33     144.05      
190.00     49538.70     9956.29      39582.41     137.96      
195.00     50579.59     10322.91     40256.68     131.73      
200.00     51600.00     10700.53     40899.47     125.36      
205.00     52599.41     11089.31     41510.10     118.86      
210.00     53577.30     11489.42     42087.88     112.23      
215.00     54533.14     11901.01     42632.13     105.45      
220.00     55466.40     12324.28     43142.12     98.53       
225.00     56376.56     12759.40     43617.16     91.46       
230.00     57263.10     13206.59     44056.51     84.25       
235.00     58125.49     13666.03     44459.46     76.90       
240.00     58963.20     14137.96     44825.24     69.39       
245.00     59775.71     14622.61     45153.11     61.73       
250.00     60562.50     15120.21     45442.29     53.92       
255.00     61323.04     15631.01     45692.02     45.95       
260.00     62056.80     16155.30     45901.50     37.82       
265.00     62763.26     16693.34     46069.92     29.52       
270.00     63441.90     17245.43     46196.47     21.07       
275.00     64092.19     17811.89     46280.30     12.44       
280.00     64713.60     18393.03     46320.57     3.64        
285.00     65305.61     18989.21     46316.40     -5.33       
290.00     65867.70     19600.78     46266.92     -14.49      
295.00     66399.34     20228.12     46171.22     -23.82      
300.00     66900.00     20871.63     46028.37     -33.35      
305.00     67369.16     21531.72     45837.44     -43.06      
310.00     67806.30     22208.85     45597.45     -52.97      
315.00     68210.89     22903.47     45307.42     -63.08      
320.00     68582.40     23616.06     44966.34     -73.39      
325.00     68920.31     24347.15     44573.16     -83.91      
330.00     69224.10     25097.26     44126.84     -94.65      
335.00     69493.24     25866.97     43626.27     -105.61     
340.00     69727.20     26656.86     43070.34     -116.80     
345.00     69925.46     27467.57     42457.90     -128.22     
350.00     70087.50     28299.74     41787.76     -139.88     
355.00     70212.79     29154.08     41058.71     -151.78     
360.00     70300.80     30031.30     40269.50     -163.94     
365.00     70351.01     30932.17     39418.84     -176.36     
370.00     70362.90     31857.49     38505.41     -189.05     
375.00     70335.94     32808.11     37527.83     -202.02     
380.00     70269.60     33784.90     36484.70     -215.28     
385.00     70163.36     34788.81     35374.55     -228.83     
390.00     70016.70     35820.82     34195.88     -242.69     
395.00     69829.09     36881.95     32947.14     -256.86     
400.00     69600.00     37973.28     31626.72     -271.36     
405.00     69328.91     39095.97     30232.95     -286.20     
410.00     69015.30     40251.19     28764.11     -301.39     
415.00     68658.64     41440.21     27218.42     -316.94     
420.00     68258.40     42664.36     25594.04     -332.87     
425.00     67814.06     43925.03     23889.04     -349.19     
430.00     67325.10     45223.66     22101.44     -365.92     
435.00     66790.99     46561.82     20229.17     -383.06     
440.00     66211.20     47941.10     18270.10     -400.64     
445.00     65585.21     49363.21     16222.01     -418.67     
450.00     64912.50     50829.93     14082.57     -437.18     
455.00     64192.54     52343.14     11849.40     -456.17     
460.00     63424.80     53904.82     9519.98      -475.68     
465.00     62608.76     55517.03     7091.73      -495.71     
470.00     61743.90     57181.97     4561.93      -516.30     
475.00     60829.69     58901.91     1927.77      -537.46     
480.00     59865.60     60679.28     -813.68      -559.22     
485.00     58851.11     62516.61     -3665.49     -581.61     
490.00     57785.70     64416.55     -6630.85     -604.65     
495.00     56668.84     66381.92     -9713.08     -628.36     
500.00     55500.00     68415.65     -12915.65    -652.79     
